baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type	dynamic
ENSG00000006740	774.031562327534	-2.29185342631849	0.168052493763593	-13.6377233981577	2.3890285020586e-42	1.29728994076024e-40	 protein_coding	NO
ENSG00000006747	746.246713115918	-2.74302125346643	0.218460566463304	-12.5561390683622	3.6784916791838e-36	1.34054046100602e-34	 protein_coding	NO
ENSG00000007216	398.94165207541	-2.21927588472595	0.361823928018771	-6.1335796581447	8.59233635597514e-10	4.33614729101759e-09	 protein_coding	NO
ENSG00000007306	13650.7145155595	-4.38404662332529	0.315112032197004	-13.9126601823457	5.30683504069002e-44	3.22803594952833e-42	 protein_coding	NO
ENSG00000007312	124.839683019123	-2.13912190822739	0.223160831078332	-9.58556166819675	9.19559361573827e-22	1.29242696968816e-20	 protein_coding	NO
ENSG00000008196	0.751945907431627	-2.32779273009703	0.659708551267641	-3.5285168361455	0.000417895363222002	0.000982164302991037	 protein_coding	NO
ENSG00000008300	773.200683775754	2.67058282203557	0.174639648111874	15.2919617676096	8.65045860796504e-53	8.62899031652921e-51	 protein_coding	NO
ENSG00000009709	6.82752914894435	4.49223397978282	0.843081143742531	5.32835304540354	9.91073376497101e-08	3.94943094089554e-07	 protein_coding	NO
ENSG00000009950	1405.76846770674	3.15960003887431	0.201147002763443	15.7079150843233	1.33497595064012e-55	1.56823335313306e-53	 protein_coding	NO
ENSG00000010282	1.18761327469513	-2.17926992612434	0.414734807531803	-5.25461062478394	1.48337963211824e-07	5.78204964418936e-07	 protein_coding	NO
ENSG00000010319	230.160796422674	-2.01959706451285	0.192328554051118	-10.5007656012225	8.56823521909704e-26	1.60402058224904e-24	 protein_coding	NO
ENSG00000011201	310.562460072081	3.13340873739649	0.227084968033266	13.7983978619733	2.60579654378474e-43	1.50256605769461e-41	 protein_coding	NO
ENSG00000011426	1924.9437893351	2.11509030803887	0.115797660304338	18.2653976123526	1.56071942858496e-74	5.28813017629143e-72	 protein_coding	NO
ENSG00000012124	134.44726977853	-2.40599433915393	0.280097189846572	-8.58985533011542	8.70788989163311e-18	9.10033315771538e-17	 protein_coding	NO
ENSG00000012504	87.7934992280814	-3.88780815210322	0.369853284934903	-10.5117577981969	7.62587284349442e-26	1.43481200017248e-24	 protein_coding	NO
ENSG00000013293	12.0360333775006	-3.48244188159528	0.453545122179694	-7.6782699477816	1.61251417606491e-14	1.29498261450813e-13	 protein_coding	NO
ENSG00000013297	62.4254838006374	-2.12620286569313	0.243171435290869	-8.74363743895276	2.25723001357744e-18	2.46917956683113e-17	 protein_coding	NO
ENSG00000015413	8618.13769389626	5.23257729823484	0.301915808648412	17.3312464877528	2.73339520431709e-67	6.19136666224266e-65	 protein_coding	NO
ENSG00000015520	201.771862926045	3.91322834937615	0.37376431879264	10.4697750764892	1.18925240140581e-25	2.20919664489513e-24	 protein_coding	NO
ENSG00000015592	5.84224767702259	-4.29818598550569	0.354123451270541	-12.1375355686963	6.68080012115087e-34	2.10045585404098e-32	 protein_coding	NO
ENSG00000016490	14721.6494171078	-2.48670510150371	0.457147429384003	-5.43961300374038	5.33964317363341e-08	2.19570847166503e-07	 protein_coding	NO
ENSG00000016602	4267.64422848649	-5.43512934150714	0.436613418479122	-12.4483790728183	1.42714145703554e-35	4.99231616514872e-34	 protein_coding	NO
ENSG00000018236	63.3883752530938	-2.51268716760105	0.335914034967225	-7.48014940145685	7.42381656390067e-14	5.61552825621401e-13	 protein_coding	NO
ENSG00000018280	343.156064203115	2.46110576193543	0.220235510209711	11.1748816509741	5.41224694563098e-29	1.2451812585689e-27	 protein_coding	NO
ENSG00000018625	179.937301484389	-4.80865616833103	0.34594912070136	-13.8998941768726	6.3435083074889e-44	3.84720641405961e-42	 protein_coding	NO
ENSG00000019102	1322.21704367525	-2.7894349843247	0.322994331888748	-8.63617317373076	5.81273766339461e-18	6.16108114591138e-17	 protein_coding	NO
ENSG00000019186	37.2653940551166	2.14467971353037	0.372445313540128	5.75837481520437	8.49276142034278e-09	3.8266428476889e-08	 protein_coding	NO
ENSG00000021826	283.215448412165	2.5486418825506	0.370678636321212	6.87561038813706	6.17249875928438e-12	3.85880000203021e-11	 protein_coding	NO
ENSG00000022267	1365.78795325391	-3.26077800387235	0.209923141258003	-15.5331993620691	2.06799670522733e-54	2.23703770239868e-52	 protein_coding	NO
ENSG00000023839	235.0115588949	3.42400301616142	0.294489196093482	11.626922350912	3.00746145584479e-31	7.97025887309146e-30	 protein_coding	NO
ENSG00000029153	935.468731444238	2.42060094543451	0.142197945955383	17.0227560543949	5.56866374728469e-65	1.09236400148889e-62	 protein_coding	NO
ENSG00000029559	34.769260566458	6.56793272149804	0.460387450759136	14.266098501747	3.55942552924079e-46	2.48601921376174e-44	 protein_coding	NO
ENSG00000030304	10.5188807533522	-3.3923816813758	0.328000801752926	-10.3426017962334	4.52093628598679e-25	8.06217250338783e-24	 protein_coding	NO
ENSG00000034971	26.3749179650166	-4.87950054968875	0.553032246429491	-8.82317546796227	1.11258803913733e-18	1.24764454126237e-17	 protein_coding	NO
ENSG00000035720	20.4115886836218	-2.29051049358028	0.252365857508408	-9.07615045947318	1.12482827536461e-19	1.36316020199226e-18	 protein_coding	NO
ENSG00000036672	189.422792652236	-4.12566263315798	0.203437529408308	-20.2797519472309	1.94107655743426e-91	1.10528134307902e-88	 protein_coding	NO
ENSG00000036828	3.39062215057642	-3.35637490075754	0.345301437936196	-9.72013010087066	2.47465106429301e-22	3.61052470939091e-21	 protein_coding	NO
ENSG00000038295	32.4422292299573	-2.2408308501508	0.271590294379512	-8.25077661655881	1.57368467991231e-16	1.50251337929774e-15	 protein_coding	NO
ENSG00000039139	59.3067604359842	2.46713688385347	0.220361122003965	11.1958809313427	4.27135399494825e-29	9.88802772924271e-28	 protein_coding	NO
ENSG00000039987	192.446227396225	-3.77005833408146	0.377557152469149	-9.9853977323063	1.76591439018359e-23	2.79965035455324e-22	 protein_coding	NO
ENSG00000040199	877.227217109863	-2.68505361641426	0.118144488055381	-22.7268631876895	2.43094400270246e-114	2.62273269007357e-111	 protein_coding	NO
ENSG00000040731	1.81729786144419	-3.78382166645649	0.443502398242498	-8.53168253757126	1.44234406790785e-17	1.4868801130522e-16	 protein_coding	NO
ENSG00000042813	1.0639954206925	2.39648064143883	0.625516918596492	3.83120035636437	0.000127519608769999	0.000326601429737176	 protein_coding	NO
ENSG00000042832	345.972830775714	4.25642135497953	0.268589665514077	15.8473012981821	1.46748845706048e-56	1.83427109032212e-54	 protein_coding	NO
ENSG00000043355	230.19118048827	6.09256360214949	0.410623316774991	14.8373542204084	8.40043321383841e-50	7.20504102303237e-48	 protein_coding	NO
ENSG00000044012	391.049391207969	-6.27143550735219	0.428849621914283	-14.6238569113294	1.97866193147609e-48	1.56002272820494e-46	 protein_coding	NO
ENSG00000046653	156.661685446915	-2.31243578977506	0.209816294629559	-11.0212402418877	3.01870814071065e-28	6.60410866343946e-27	 protein_coding	NO
ENSG00000046774	2.04252207754207	3.73700546695725	1.06797533215542	3.49914960995879	0.000466744610252925	0.00108755871163111	 protein_coding	NO
ENSG00000047457	160.438567851701	-2.01061966115812	0.318739818660957	-6.30802787554076	2.82613323972076e-10	1.50514173242494e-09	 protein_coding	NO
ENSG00000048462	81.0966204613648	-3.25800059615541	0.289788503642299	-11.2426840789272	2.51613817617486e-29	5.91833809218686e-28	 protein_coding	NO
ENSG00000048540	167.746725985656	-3.3454192399922	0.309145619105279	-10.8214997504232	2.72284846628185e-27	5.63225738751883e-26	 protein_coding	NO
ENSG00000049192	92.869784732049	2.30976711676589	0.212981846600978	10.8449013548711	2.10863211285376e-27	4.39053831197454e-26	 protein_coding	NO
ENSG00000050030	17.0855815861751	-3.15978890589076	0.348649191062227	-9.06294632798045	1.26973516154208e-19	1.53333143307518e-18	 protein_coding	NO
ENSG00000050344	4371.58489407076	2.61769411477056	0.103889919610411	25.1968056630224	4.34196791011173e-140	1.36932307983662e-136	 protein_coding	NO
ENSG00000053328	16.3304797724181	-3.23390506731843	0.268347024978294	-12.0512052167525	1.91134577155417e-33	5.83479925109292e-32	 protein_coding	NO
ENSG00000053438	88.1497935688869	-2.3641959695313	0.234244270298811	-10.0928657359065	5.94093109917182e-24	9.81330754245957e-23	 protein_coding	NO
ENSG00000057149	7.22050510514294	5.09914147620126	0.835669803004786	6.10186159397704	1.04840142750406e-09	5.23728058057897e-09	 protein_coding	NO
ENSG00000057593	64.0135513669743	3.33631047386231	0.369987834813111	9.01735181522267	1.9269079367999e-19	2.29249482277778e-18	 protein_coding	NO
ENSG00000057704	1049.59691565461	-2.47948420321579	0.140817094096554	-17.6078353208715	2.14492352593197e-69	5.42824535284933e-67	 protein_coding	NO
ENSG00000058668	2462.75007739189	-2.10628835642868	0.163134035715076	-12.9113973500137	3.88191945113325e-38	1.62233367642774e-36	 protein_coding	NO
ENSG00000059915	307.469778019229	-3.23286319219394	0.224980432110048	-14.3695305492728	8.03742020916603e-47	5.79118020624585e-45	 protein_coding	NO
ENSG00000060566	135.527971581218	-4.54799386722175	0.324832884813847	-14.0010266196666	1.53635244539194e-44	9.58711987156451e-43	 protein_coding	NO
ENSG00000060718	1433.64095002102	6.60319892657617	0.279260426958132	23.6453084259094	1.31906668338874e-123	2.00292947724339e-120	 protein_coding	NO
ENSG00000062038	3203.43596834213	5.9656154636428	0.150785531078399	39.5635802784092	0	0	 protein_coding	NO
ENSG00000064195	61.1229373397771	3.00437835419058	0.430202763837499	6.98363331604589	2.87642230324389e-12	1.85654221644196e-11	 protein_coding	NO
ENSG00000064205	68.3240655797204	-3.59905685410039	0.339450936232514	-10.6025833778674	2.89860697634241e-26	5.59300424771758e-25	 protein_coding	NO
ENSG00000064218	7.6714645549387	4.28376505503601	0.468441028157209	9.14472643843309	5.9780973350952e-20	7.38890667905436e-19	 protein_coding	NO
ENSG00000064655	187.789442049478	-2.86930621566946	0.288214549284572	-9.95545236280358	2.38734654085199e-23	3.75005492267624e-22	 protein_coding	NO
ENSG00000064787	1834.6467623728	-2.5242560605001	0.219243847091703	-11.5134636341438	1.12852942275672e-30	2.88810544782646e-29	 protein_coding	NO
ENSG00000065320	247.415366306639	-2.71188898021292	0.195213267287799	-13.8919296720486	7.08991534164338e-44	4.28720279021674e-42	 protein_coding	NO
ENSG00000065325	59.43138045013	-3.90255676629216	0.219366777627635	-17.7900993418272	8.43302685784572e-71	2.32038412830845e-68	 protein_coding	NO
ENSG00000065371	2.60056301633739	-3.06697364806729	0.430901697395194	-7.11757151713995	1.09845227029375e-12	7.42895845884251e-12	 protein_coding	NO
ENSG00000065534	5673.33549796815	-3.30357534745936	0.223423718323327	-14.7861443370959	1.7997228832173e-49	1.51509319848343e-47	 protein_coding	NO
ENSG00000065609	10.5568125934269	-2.88183188230821	0.377505505039292	-7.63388041720945	2.27791217855829e-14	1.80254474998133e-13	 protein_coding	NO
ENSG00000066230	1898.89178794914	-3.92763055513811	0.301418198088567	-13.0305024051137	8.20655042707373e-39	3.56411180518187e-37	 protein_coding	NO
ENSG00000066405	417.24854159622	6.12750879955112	0.531550382203127	11.5276162047976	9.5758529641898e-31	2.46138445031883e-29	 protein_coding	NO
ENSG00000066468	702.262082741904	-2.19704145198913	0.214743888676134	-10.2309847583257	1.44047082274244e-24	2.48240532958364e-23	 protein_coding	NO
ENSG00000066629	326.871248153714	-2.23429160379139	0.173182799079767	-12.9013482612802	4.42290427253766e-38	1.83904897936611e-36	 protein_coding	NO
ENSG00000067840	63.9207135802591	-3.19369132881694	0.234235473092057	-13.6345331757747	2.49582811233103e-42	1.35170357925162e-40	 protein_coding	NO
ENSG00000067842	3.82149573750999	-3.30111796969397	0.359708574564145	-9.17720122099924	4.42441015496282e-20	5.51343366362206e-19	 protein_coding	NO
ENSG00000068650	3085.07331036347	2.12518298491389	0.13326368177916	15.947202992903	2.97945266417281e-57	3.95312622413453e-55	 protein_coding	NO
ENSG00000068976	75.0122974530527	-3.8528245529133	0.239501872715235	-16.0868243293206	3.15616412896888e-58	4.38631921896495e-56	 protein_coding	NO
ENSG00000068985	1.46101741944763	2.93945061927894	1.04404686340873	2.8154393469292	0.00487105907427655	0.00936916161985409	 protein_coding	NO
ENSG00000069018	4.63734973811127	-2.35634594649682	0.268490970959463	-8.77625768224657	1.69004348411946e-18	1.86459641447604e-17	 protein_coding	NO
ENSG00000069535	375.384730861442	-2.4291119114954	0.266732923607144	-9.1069069338928	8.47640500888494e-20	1.03612299509322e-18	 protein_coding	NO
ENSG00000070729	5.65834344686086	-3.5470994367252	0.277477120049519	-12.783394306861	2.03012344607753e-37	8.09640087959984e-36	 protein_coding	NO
ENSG00000070748	2.89343722582494	-4.64914874615352	0.477335980491763	-9.73978274456463	2.03990003244182e-22	2.9879178824598e-21	 protein_coding	NO
ENSG00000070886	5.80178281064089	3.97185748527929	0.60274377172155	6.58962841529646	4.40928718291231e-11	2.53501550869498e-10	 protein_coding	NO
ENSG00000071203	1426.46281531534	-5.48697573793388	0.43396261186778	-12.6438904824493	1.20919441049455e-36	4.54395531085752e-35	 protein_coding	NO
ENSG00000071539	919.106783904759	2.31104400382995	0.101107641490792	22.8572635040688	1.23747496043627e-115	1.40927773411017e-112	 protein_coding	NO
ENSG00000071967	1778.10405806711	-2.06279795252995	0.189599138516355	-10.879785470924	1.43901232048575e-27	3.02702037533478e-26	 protein_coding	NO
ENSG00000071991	38.9845785532775	-4.04157374346667	0.40288178149792	-10.0316617158514	1.10638694643809e-23	1.78230459843099e-22	 protein_coding	NO
ENSG00000072163	861.906355421178	-2.39659576870888	0.208567549057395	-11.4907413906915	1.4684620889897e-30	3.72549558938118e-29	 protein_coding	NO
ENSG00000072195	305.871106980781	-2.91256411450371	0.268249730688531	-10.8576590441596	1.83390151637353e-27	3.83212509522334e-26	 protein_coding	NO
ENSG00000072315	1.67060515423716	2.1535537725342	0.709684509919571	3.03452272444028	0.00240916605122952	0.00491080344892895	 protein_coding	NO
ENSG00000072657	82.1534432436167	-2.39148958540733	0.258416769296023	-9.25439007662782	2.15456970712707e-20	2.74752873570127e-19	 protein_coding	NO
ENSG00000073067	1826.51461314768	4.15286433724708	0.379190426512357	10.9519229571366	6.50517365760191e-28	1.39414066709024e-26	 protein_coding	NO
ENSG00000073734	21.8991753780911	-5.02632744960233	0.320484651418886	-15.6835200292719	1.96080097644838e-55	2.26447657556143e-53	 protein_coding	NO
ENSG00000073737	990.123499329054	-3.3002058301451	0.30957713378965	-10.6603669003135	1.55980874308023e-26	3.06710018459487e-25	 protein_coding	NO
ENSG00000074276	2097.03837027866	-2.35541053014989	0.242979147099879	-9.69387932365105	3.20132748265097e-22	4.63282824333655e-21	 protein_coding	NO
ENSG00000074317	2.61750613902701	-2.036851729914	0.359349518855501	-5.66816323116614	1.44336428167315e-08	6.35129857465234e-08	 protein_coding	NO
ENSG00000074410	5277.57521960488	-2.29519754586679	0.189883861283031	-12.0873755692469	1.23158259755802e-33	3.81074893091952e-32	 protein_coding	NO
ENSG00000075035	20.048927801894	-2.67456275155155	0.338341603230302	-7.90491836066351	2.68109254593253e-15	2.31360623443784e-14	 protein_coding	NO
ENSG00000075073	251.619951736389	-3.74859761189121	0.285103519859537	-13.1481982886007	1.74277776149725e-39	7.94776447896152e-38	 protein_coding	NO
ENSG00000075275	1412.10359459222	2.41745042837002	0.153392983812532	15.7598500810473	5.8772239517713e-56	7.10780022344306e-54	 protein_coding	NO
ENSG00000075290	8.02814822263213	2.37543090975516	0.282184102003692	8.41801821182713	3.82906272466905e-17	3.82514409322567e-16	 protein_coding	NO
ENSG00000075461	146.797780540702	3.47348251566133	0.403769724246959	8.60263240920171	7.79081911136212e-18	8.16482622514376e-17	 protein_coding	NO
ENSG00000075891	4.67118599599849	2.40657759522749	0.435114912551308	5.53090120749128	3.18589725748441e-08	1.34877546222992e-07	 protein_coding	NO
ENSG00000077080	1.77023178474153	-2.90843759712271	0.335066161748052	-8.68018895715786	3.95111842046725e-18	4.24719331416666e-17	 protein_coding	NO
ENSG00000077157	2661.83856203014	-2.54923262688091	0.194787512162806	-13.0872487593056	3.89460860567163e-39	1.73744465305033e-37	 protein_coding	NO
ENSG00000077498	3.58461922957295	4.19911728479182	0.788605416929464	5.32473806880711	1.01098613780663e-07	4.02450817339512e-07	 protein_coding	NO
ENSG00000077943	169.484365145309	-2.00882875475073	0.151144128446693	-13.2908156962196	2.61709547322331e-40	1.24049149300471e-38	 protein_coding	NO
ENSG00000078098	457.82220360865	3.32769182051009	0.24570835487475	13.5432587231573	8.68489780498012e-42	4.55907093736972e-40	 protein_coding	NO
ENSG00000078114	3225.7826957744	2.41148295169728	0.128274784891101	18.7993529183815	7.64432606144457e-79	3.04273863948645e-76	 protein_coding	NO
ENSG00000078295	52.4148182729885	-2.02237945895601	0.21771635266475	-9.2890563074523	1.55662300151478e-20	2.00246092927841e-19	 protein_coding	NO
ENSG00000078549	23.2464605288367	-3.99496882601111	0.352101962430165	-11.3460566889157	7.75833187238067e-30	1.88881288660251e-28	 protein_coding	NO
ENSG00000078579	26.6852573630859	6.00210836917407	0.58562428822142	10.249076908	1.19479095790758e-24	2.07033134794145e-23	 protein_coding	NO
ENSG00000078596	286.96826681202	-2.11716149918611	0.186891952390425	-11.3282646583052	9.5069612218225e-30	2.29950676207834e-28	 protein_coding	NO
ENSG00000078804	1962.34557746009	-2.59361803650388	0.1510726196477	-17.168021859634	4.60860190837403e-66	9.78981663417195e-64	 protein_coding	NO
ENSG00000078898	5.54368003326866	4.97025425613529	0.763357466251948	6.51104426938931	7.46301436794254e-11	4.19422430509813e-10	 protein_coding	NO
ENSG00000078900	173.134011950043	2.28280100152437	0.213499704298531	10.6922911627662	1.10604367730401e-26	2.19910662861833e-25	 protein_coding	NO
ENSG00000079308	4194.94755351042	-2.69534823075391	0.224752391742504	-11.99252301547	3.88877038072476e-33	1.15781995692777e-31	 protein_coding	NO
ENSG00000079385	9806.82083496896	-2.40583728705342	0.157019611303156	-15.3218904765246	5.46059034564447e-53	5.52773538248721e-51	 protein_coding	NO
ENSG00000079393	0.840042271682137	2.04571234411848	0.474636283683829	4.31006312505429	1.63207951637899e-05	4.82283379072407e-05	 protein_coding	NO
ENSG00000079689	61.9766981753884	-5.00483201695608	0.311171740346965	-16.0838256435997	3.31274533216666e-58	4.58837611919489e-56	 protein_coding	NO
ENSG00000080031	1880.22275615598	-2.11119688373668	0.149078791683109	-14.1616178928011	1.58307039476939e-45	1.06050196151561e-43	 protein_coding	NO
ENSG00000080224	7.78063947490909	-3.72673119851907	0.42383705684342	-8.79283946117021	1.45826771079767e-18	1.61890223686117e-17	 protein_coding	NO
ENSG00000080293	8.75118646521754	-2.05290263257818	0.266580115807454	-7.70088431524635	1.35127784495278e-14	1.09334298573858e-13	 protein_coding	NO
ENSG00000080493	1197.71284571816	-4.56599613368509	0.300666853382046	-15.1862304817594	4.36298368300242e-52	4.19891091633177e-50	 protein_coding	NO
ENSG00000080618	2.37757242838791	3.07692118418506	0.471255004177804	6.52920638912546	6.61190887381313e-11	3.73638924891235e-10	 protein_coding	NO
ENSG00000081041	871.715912735136	2.3612081751677	0.21583728128353	10.9397605507547	7.43961357646496e-28	1.58941780827468e-26	 protein_coding	NO
ENSG00000081051	14.0342270747074	4.17014836667201	0.461714029119972	9.03188576405253	1.68738518885509e-19	2.01924745979804e-18	 protein_coding	NO
ENSG00000081138	10.7691153342357	2.51305492361427	0.450312031301093	5.58069682560615	2.39556891022117e-08	1.02744569705249e-07	 protein_coding	NO
ENSG00000081277	426.69195625295	3.94958337026584	0.287734302282913	13.7264946825229	7.04609022652995e-43	3.93028036880646e-41	 protein_coding	NO
ENSG00000081479	6.88443752778987	3.50172778893337	0.472007414704929	7.4187982642655	1.18187768765218e-13	8.76372245222717e-13	 protein_coding	NO
ENSG00000081800	3.20024798722311	-3.1268530008727	0.654900839247122	-4.77454419583177	1.80114726717894e-06	6.12198935995706e-06	 protein_coding	NO
ENSG00000082126	3.6223318830118	2.24971270796432	0.312449674436754	7.20024020514606	6.01065771865601e-13	4.1675113334933e-12	 protein_coding	NO
ENSG00000082175	47.3022731260672	-2.3722133694576	0.258460744454336	-9.17823468498412	4.3821613085057e-20	5.46576967831204e-19	 protein_coding	NO
ENSG00000082293	5.3715742602632	-2.48469842940167	0.375301891833725	-6.62053265242399	3.57906843910237e-11	2.08016228900367e-10	 protein_coding	NO
ENSG00000082397	782.139733942223	-2.64548366760911	0.21827327113544	-12.1200532426509	8.27053936172542e-34	2.58836315077877e-32	 protein_coding	NO
ENSG00000083782	47.0371146745189	6.8604635752693	0.513613322406865	13.357253941779	1.07455638078014e-40	5.21974674161424e-39	 protein_coding	NO
ENSG00000084453	12.7769441741231	4.07026541407923	0.498546913797703	8.16425756820719	3.23418157673043e-16	3.00873556348523e-15	 protein_coding	NO
ENSG00000085741	773.868574971535	2.5816098820387	0.309046222907406	8.3534749519077	6.62834733551272e-17	6.51988925291148e-16	 protein_coding	NO
ENSG00000086159	17.6174709122518	2.01996874864003	0.264776503639163	7.62895770915096	2.36659250638223e-14	1.86875114747031e-13	 protein_coding	NO
ENSG00000086506	6.96314860910522	3.29248018810906	0.484329907820882	6.79801130374692	1.06073134887057e-11	6.48201875704214e-11	 protein_coding	NO
ENSG00000086696	1001.7821382208	-3.43284573771335	0.263126546963693	-13.0463679067206	6.66498991259245e-39	2.91935103030412e-37	 protein_coding	NO
ENSG00000086717	15.1162733188788	3.06707526010723	0.247044547550032	12.4150696322738	2.16498413753504e-35	7.44631037505549e-34	 protein_coding	NO
ENSG00000086991	91.7419275467813	3.25415746234356	0.244824679184209	13.2917868949604	2.58334312302342e-40	1.22725262291674e-38	 protein_coding	NO
ENSG00000087116	1608.75584302842	2.38434032001632	0.205278028231081	11.6151754796294	3.45079176486943e-31	9.13334801653433e-30	 protein_coding	NO
ENSG00000087128	8.31938068883857	2.68033662926042	0.543990584861498	4.92717466781679	8.34271708962482e-07	2.96441944219482e-06	 protein_coding	NO
ENSG00000087258	217.022945375852	-3.42201899995121	0.248929613587019	-13.7469341258386	5.31338716075584e-43	2.99228361011907e-41	 protein_coding	NO
ENSG00000088002	858.616107436879	3.26238701137259	0.197956041194797	16.4803609512593	5.0780777165405e-61	7.94622252758502e-59	 protein_coding	NO
ENSG00000088340	627.979039571265	2.79600355208181	0.241731585859267	11.5665627317301	6.08728110169339e-31	1.58253868489046e-29	 transcribed_unitary_pseudogene	DDG
ENSG00000088386	227.639109069658	-2.91029583393162	0.360904795962075	-8.06388794633098	7.39055058343322e-16	6.67249048270415e-15	 protein_coding	NO
ENSG00000088726	8.49086490456698	3.95237480193722	0.413891237156561	9.5493077579755	1.30565776028686e-21	1.81455446970307e-20	 protein_coding	NO
ENSG00000088826	837.144320688501	2.34332221528169	0.141711316268218	16.5358863144455	2.02379396567284e-61	3.21594980638198e-59	 protein_coding	NO
ENSG00000088836	295.364658300564	4.07969832646428	0.237804860727622	17.1556557506077	5.70227634403831e-66	1.18350655209404e-63	 protein_coding	NO
ENSG00000088899	1330.41233237994	2.17637150487826	0.170267830728861	12.7820475280734	2.06559063425675e-37	8.22185289546196e-36	 protein_coding	NO
ENSG00000088992	1909.86495638987	4.60824541029519	0.237818797822936	19.3771285217167	1.20379282723955e-83	5.54529194732215e-81	 protein_coding	NO
ENSG00000089116	5.29565091523644	3.93775852661517	0.549596168929865	7.16482164401273	7.78878912757276e-13	5.33987920823124e-12	 protein_coding	NO
ENSG00000089169	5.26309150700111	-2.29559415634174	0.3069274806669	-7.4792721438752	7.47353672306064e-14	5.65209479011326e-13	 protein_coding	NO
ENSG00000089199	131.427563403466	-2.59958755642337	0.36882346795361	-7.04832469269645	1.81084700948767e-12	1.19608676808403e-11	 protein_coding	NO
ENSG00000089225	4.71271590572083	4.23002684316983	0.746524896918679	5.66629038178028	1.45922150469983e-08	6.41832027139616e-08	 protein_coding	NO
ENSG00000089250	33.6684887659209	-3.23283114405068	0.375805404360704	-8.60240727391926	7.80612156005808e-18	8.17877259696553e-17	 protein_coding	NO
ENSG00000089327	3906.72285838737	2.07922822058823	0.136657847834545	15.2148468129368	2.81878480758441e-52	2.73202221137933e-50	 protein_coding	NO
ENSG00000090402	836.895421938252	-3.2838486963969	0.382069252761492	-8.59490438621307	8.33341558990557e-18	8.72009628266842e-17	 protein_coding	NO
ENSG00000090659	273.327681319695	-2.35269977225903	0.215504025817692	-10.9171963880124	9.5395124391435e-28	2.02328469208487e-26	 protein_coding	NO
ENSG00000090932	17.6729258040658	2.46976088551218	0.316588830798211	7.80116240767308	6.13395093468489e-15	5.11865907633241e-14	 protein_coding	NO
ENSG00000091138	16026.2443725647	-4.6743622069209	0.364158960384914	-12.8360488561921	1.02998537646031e-37	4.1933803837259e-36	 protein_coding	NO
ENSG00000091482	32.5509098019686	-2.26671074742819	0.440795918670903	-5.14231337318827	2.71375966001177e-07	1.02222269883464e-06	 protein_coding	NO
ENSG00000092009	14.1845595970445	-3.73365727695207	0.392527797265992	-9.51182897862898	1.87339318719657e-21	2.56445321832003e-20	 protein_coding	NO
ENSG00000092051	16.155423479505	-2.51126352561983	0.23007168126282	-10.9151352823432	9.75839087045841e-28	2.06650056253644e-26	 protein_coding	NO
ENSG00000092421	1064.66827496377	-2.36498234897381	0.198346712544449	-11.9234764147847	8.93028470167541e-33	2.6095781339935e-31	 protein_coding	NO
ENSG00000092607	27.7946881680739	2.94225789458561	0.261037373058829	11.2714047805045	1.81648343323563e-29	4.3147269870101e-28	 protein_coding	NO
ENSG00000092758	870.377710551057	2.99091908741411	0.294684318146307	10.1495699066319	3.32826946026291e-24	5.59460399064612e-23	 protein_coding	NO
ENSG00000093134	16.6582637936388	2.19821326847489	0.31627479876499	6.95032698482021	3.64440505919788e-12	2.32948734981283e-11	 protein_coding	NO
